,Year,Area,H+,Temperature,logfO2,HCO3-,SiO2,F-,Cl-,Br-,SO4-2,NO2-,NO3-,Li+,Na+,NH4+,K+,Mg+2,Ca+2,Fe+2,HS-
,,,pH,degC,logfO2,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality
090119R,,,11.6,16.6,-6,0.00023715,0.0000202,5.79E-07,0.00526888,2.77E-06,7.40E-05,,3.39E-05,0.000000692,0.006886542,,0.000151081,0.0000105,0.000199601,,
140117L,,,11.6,27.3,-6,0.0000158,0.00000187,,0.00581,0.00000417,0.0000016,,9.68E-08,0.00000279,0.00733,0.0000227,0.00016,0.00000147,0.00214,0.00000895,0.00000359
090123F,,,11.6,28.1,-6,0.00013606,0.00000155,,0.005611696,2.41E-06,4.51E-06,,,0.00000177,0.006801025,,0.000155209,0.00000186,0.001497006,,
100114AT,,,11.6,30.4,-6,0.0000381,0.00000353,,0.006331411,,0.0000121,,0.00013386,0.0000164,0.008398416,1.76E-06,0.000138852,0.000000699,0.001719559,,0.000002
100114AU,,,11.6,20.08,-6,0.0000741,0.0000161,,0.006236247,,0.000154894,,2.90E-05,0.0000097,0.007795964,,0.000139321,0.000156799,0.000288816,,0.000000998
090122Z,,,11.6,29.5,-6,0.000110604,0.00000466,6.34E-05,0.006007844,,3.00E-05,,7.74E-05,0.00000245,0.007676371,3.52E-06,0.000218894,0.000000543,0.000209581,,
100115AV,,,11.6,21.4,-6,,0.000000388,,0.006992328,,0.0000625,,,0.00000455,0.004745687,,0.000123921,0.00000415,0.002483587,,
100111AA,,,11.7,28.5,-6,0.0000413,0.00000179,,0.011994195,,0.0000041,0.00000201,8.55E-05,0.0000264,0.015120934,5.99E-05,0.00026228,0.00000028,0.001663862,,0.0000078
100111AB,,,11.7,25.4,-6,0.00013037,0.00000245,0.00000101,0.01233556,,0.00000954,,9.19E-05,0.0000218,0.015677288,0.000115084,0.000279817,0.000000794,0.001607379,,0.00000278
100108J,,,11.7,23.9,-6,0.0000542,0.00000173,,0.008576579,,0.00000651,0.000000137,5.64E-05,0.0000314,0.010368814,2.94E-05,0.000218672,0.00000197,0.001894043,,0.00000565
100108K,,,11.7,24.7,-6,0.0000718,0.0000016,,0.008353845,,0.00000477,,8.39E-05,0.0000305,0.010411448,2.58E-05,0.000218676,0.00000178,0.001870028,,0.00000502
100108M,,,11.7,26,-6,0.0000781,0.00000702,,0.009989466,0.00000204,0.0000133,,,0.0000337,0.012661137,,0.0003047,0.000000461,0.001951117,,
090115B,,,11.7,24.1,-6,0.000119951,0.00000368,6.16E-06,0.008438269,3.05E-06,3.37E-06,,5.71E-05,0.0000021,0.009813322,,0.000267142,0.00000123,0.001689122,,
090115C,,,11.7,25.1,-6,0.0000626,0.0000106,,0.008195125,4.20E-06,1.36E-05,,,0.00000864,0.009614451,,0.000250921,0.000041,0.002208084,,
100109U,,,11.7,24.9,-6,0.000117242,0.00000047,,0.005059625,,0.00000457,,5.32E-05,0.0000154,0.006899442,2.76E-05,0.000109971,0.00000123,0.00150585,,0.00000656
090117K,,,11.7,18.5,-6,0.000239358,0.0000253,1.89E-07,0.005302214,2.50E-06,5.89E-05,,3.87E-05,0.00000187,0.006597717,4.11E-05,0.000141975,0.0000745,0.000254491,,
090117M,,,11.7,22.6,-6,,0.00000382,,0.005216681,2.47E-06,1.43E-06,,,0.00000258,0.006410591,,0.000150636,0.00000665,0.001524451,,
090119Q,,,11.7,23.2,-6,0.000129734,0.000024,,0.005290021,2.41E-06,1.45E-05,,6.93E-05,0.00000223,0.006755875,,0.000146799,0.0000565,0.001821357,,
120117V,,,11.7,23.6,-6,0.0000817,0.00000363,2.11E-08,0.005398302,0.00000152,0.00000221,0.000000704,2.26E-05,0.00000326,0.006812545,1.59E-05,0.000144611,0.000000679,0.00175,,0.00000218
090116F,,,11.8,26.3,-6,0.000114336,0.00000428,2.49E-05,0.009336022,3.64E-06,4.08E-05,,6.43E-05,0.00000222,0.011432477,2.00E-05,0.000308177,0.000000806,0.001222555,,
090116G,,,11.8,27.1,-6,0.002801859,0.00000335,1.89E-07,0.009090674,3.84E-06,2.84E-05,,0.000125797,0.00000218,0.011085366,2.41E-05,0.000265623,0.00000079,0.001122754,,
100108O,,,11.8,22,-6,0.0000715,0.000000983,0.000000733,0.008695268,,0.00000718,,,0.0000311,0.01084802,,0.000228918,0.00000112,0.001917662,,
